Scheme,Label
vocabs:vic-crs,"VIC Coordinate Reference Systems"
vocabs:vic-locality,"VIC Localities"
vocabs:vic-parish,"VIC Parishes"
vocabs:vic-local-government-area,"VIC Local Government Areas"
vocabs:vic-county,"VIC Counties"
vocabs:vic-township,"VIC Townships"
vocabs:vic-vhd,"VIC Vertical Height Datums"
vocabs:vic-survey-purpose,"VIC Survey Purpose"
vocabs:vic-survey-type,"VIC Survey Type"
vocabs:vic-secondary-parcel-purpose,"VIC Secondary Parcel Purpose"
vocabs:vic-parcel-purpose,"VIC Parcel Purpose"
vocabs:vic-secondary-parcel-type,"VIC Secondary Parcel Type"
vocabs:vic-parcel-type,"VIC Parcel Type"
vocabs:vic-procedure-used,"VIC Survey Procedures"
vocabs:vic-monument-condition,"VIC Monument Condition"
vocabs:vic-monument-form,"VIC Monument Form"
vocabs:vic-surveypoint-purpose,"VIC Survey Point Purpose"
vocabs:vic-monument-state,"VIC Monument State"
vocabs:vic-parcel-state,"Vic Parcel States"
